Key,ParentTechniqueID,Value
T1003.001,T1003,Software contains an implementation of Software to gather credentials from memory.
T1614.001,T1614,Attacker has used implants to collect the system language ID of a compromised machine.
T1587.001,T1587,For Software modular backdoor.
T1021.001,T1021,Attacker has used Remote Desktop Protocol to conduct lateral movement.
T1055.013,T1055,This behavior will likely not result in elevated privileges since the injected process was spawned from  of the injecting process.
T1070.004,T1070,Software is capable of deleting files.
T1070.004,T1070,Software is capable of deleting files. It has been observed loading a Linux Kernel Module  and then deleting it from the hard disk as well as overwriting the data with null bytes.
T1573.001,T1573,Software uses RC4 and XOR to encrypt C2 traffic.
T1543.003,T1543,Software has been installed as a Windows service.
T1074.001,T1074,Software can stage local data in the Windows Registry.
T1588.001,T1588,Software in its operations.
T1557.001,T1557,Link-Local Multicast Name Resolution  and NetBIOS Name Service  are Microsoft Windows components that serve as alternate methods of host identification.
T1596.001,T1596,"Information from these sources may reveal opportunities for other forms of reconnaissance  or ), establishing operational resources  or ), and/or initial access  or )."
T1055.012,T1055,Software can use process hollowing for execution.
T1588.002,T1588,"Software, and AirVPN for post-exploitation activities."
T1497.003,T1497,"For example, an adversary may be able to identify a sandbox accelerating time by sampling and calculating the expected value for an environment's timestamp before and after execution of a sleep function."
T1543.002,T1543,"The .service file’s User directive can be used to run service as a specific user, which could result in privilege escalation based on specific user/group permissions."
T1608.005,T1608,"Links can be used for spearphishing, such as sending an email accompanied by social engineering text to coax the user to actively click or copy and paste a URL into a browser."
T1573.001,T1573,Software uses AES to encrypt certain information sent over its C2 channel.
T1218.010,T1218,Attacker has used rgsvr32 to execute custom malware.
T1069.001,T1069,Software malware to list local groups: <code>net localgroup administrator >> %temp%\download</code>
T1218.011,T1218,Attacker has utilized `rundll32.exe` to deploy ransomware commands with the use of WebDAV.
T1614.001,T1614,Software can identify the system language on a compromised host.
T1055.009,T1055,"Once enumerated, the target processes’ memory map within <code>/proc//maps</code> can be overwritten using dd."
T1562.009,T1562,Adversaries may abuse safe mode to disable endpoint defenses that may not start with a limited boot.
T1059.003,T1059,Software creates a command-line shell using cmd.exe.
T1059.003,T1059,Software can launch a command shell interface for executing commands.
T1499.002,T1499,"Web server software can be attacked through a variety of means, some of which apply generally while others are specific to the software being used to provide the service."
T1056.002,T1056,Software prompts the user for their credentials.
T1059.001,T1059,Software has used Powershell scripts to deploy its ransomware.
T1543.002,T1543,Systemd utilizes unit configuration files with the `.service` file extension to encode information about a service's process.
T1055.003,T1055,"Thread Execution Hijacking is commonly performed by suspending an existing process then unmapping/hollowing its memory, which can then be replaced with malicious code or the path to a DLL."
T1566.002,T1566,Software has been distributed via spearphishing link.
T1055.012,T1055,A Attacker payload uses process hollowing to hide the UAC bypass vulnerability exploitation inside svchost.exe.
T1562.002,T1562,"Additionally, adversaries may use <code>auditpol</code> and its sub-commands in a command prompt to disable auditing or clear the audit policy."
T1614.001,T1614,Software has checked the results of the <code>GetKeyboardLayoutList</code> and the language name returned by <code>GetLocaleInfoA</code> to make sure they contain the word “Arabic” before executing.
T1218.004,T1218,Attacker has used <code>InstallUtil.exe</code> to execute a malicious Beacon stager.
T1558.004,T1558,"When enabled, a user requesting access to a resource initiates communication with the Domain Controller  by sending an Authentication Server Request  message with a timestamp that is encrypted with the hash of their password."
T1205.002,T1205,Communication with these socket filters may also be used in conjunction with .
T1547.006,T1547,"When used maliciously, LKMs can be a type of kernel-mode  that run with the highest operating system privilege ."
T1134.004,T1134,This functionality is used by Windows features such as User Account Control  to correctly set the PPID after a requested elevated process is spawned by SYSTEM  rather than the current user context.
T1562.001,T1562,Attacker has disabled antivirus services on targeted systems in order to upload malicious payloads.
T1547.001,T1547,Software has created a new registry entry at <code>HKEY_CURRENT_USERS\Software\Microsoft\Windows\CurrentVersion\Run\Graphics</code> with a value of <code>C:\ProgramData\Initech\Initech.exe /run</code>.
T1546.003,T1546,Attacker has complied VBScript-generated MOF files into WMI event subscriptions for persistence.
T1127.001,T1127,Attacker has used MSbuild to execute an actor-created file.
T1518.001,T1518,"Software can check for the presence of network sniffers, AV, and BitDefender firewall."
T1021.004,T1021,Attacker has used Putty to access compromised systems.
T1110.003,T1110,Adversaries may use a single or small list of commonly used passwords against many different accounts to attempt to acquire valid account credentials.
