Tactics,Sentence
Discovery,Explosive is a custom-made remote access tool used by the group Volatile Cedar.
Defense Evasion,Explosive is a custom-made remote access tool used by the group Volatile Cedar.
Collection,Explosive is a custom-made remote access tool used by the group Volatile Cedar.
Credential Access,Explosive is a custom-made remote access tool used by the group Volatile Cedar.
Command and Control,Explosive is a custom-made remote access tool used by the group Volatile Cedar.
Execution,Explosive is a custom-made remote access tool used by the group Volatile Cedar.
Discovery,It was first identified in the wild in 2015.
Defense Evasion,It was first identified in the wild in 2015.
Collection,It was first identified in the wild in 2015.
Credential Access,It was first identified in the wild in 2015.
Command and Control,It was first identified in the wild in 2015.
Execution,It was first identified in the wild in 2015.
Credential Access,Indrik Spider is a Russia-based cybercriminal group that has been active since at least 2014.
Resource Development,Indrik Spider is a Russia-based cybercriminal group that has been active since at least 2014.
Persistence,Indrik Spider is a Russia-based cybercriminal group that has been active since at least 2014.
Defense Evasion,Indrik Spider is a Russia-based cybercriminal group that has been active since at least 2014.
Discovery,Indrik Spider is a Russia-based cybercriminal group that has been active since at least 2014.
Collection,Indrik Spider is a Russia-based cybercriminal group that has been active since at least 2014.
Execution,Indrik Spider is a Russia-based cybercriminal group that has been active since at least 2014.
Privilege Escalation,Indrik Spider is a Russia-based cybercriminal group that has been active since at least 2014.
Initial Access,Indrik Spider is a Russia-based cybercriminal group that has been active since at least 2014.
Impact,Indrik Spider is a Russia-based cybercriminal group that has been active since at least 2014.
Command and Control,Indrik Spider is a Russia-based cybercriminal group that has been active since at least 2014.
Credential Access,"Indrik Spider initially started with the Dridex banking Trojan, and then by 2017 they began running ransomware operations using BitPaymer, WastedLocker, and Hades ransomware."
Resource Development,"Indrik Spider initially started with the Dridex banking Trojan, and then by 2017 they began running ransomware operations using BitPaymer, WastedLocker, and Hades ransomware."
Persistence,"Indrik Spider initially started with the Dridex banking Trojan, and then by 2017 they began running ransomware operations using BitPaymer, WastedLocker, and Hades ransomware."
Defense Evasion,"Indrik Spider initially started with the Dridex banking Trojan, and then by 2017 they began running ransomware operations using BitPaymer, WastedLocker, and Hades ransomware."
Discovery,"Indrik Spider initially started with the Dridex banking Trojan, and then by 2017 they began running ransomware operations using BitPaymer, WastedLocker, and Hades ransomware."
