Key,Value
T1094,Some Software variants use raw TCP for C2.
T1047,Software leverages WMI to enumerate anti-virus on the victim.
T1559,"Software has the ability to move data between its kernel and user mode components, generally using named pipes."
T1518,Software can list PHP server configuration details.
T1134,Software has used <code>SeDebugPrivilege</code> and <code>AdjustTokenPrivileges</code> to elevate privileges.
T1488,"Instead of wiping specific disk structures or files, adversaries with destructive intent may wipe arbitrary portions of disk content."
T1554,Software replaced the SSH client with a trojanized SSH client to steal credentials on compromised systems.
T1016,Software can collect the network interface MAC address on the infected host.
T1135,Software enumerates open SMB shares on internal victim networks.
T1526,"These methods can differ from platform-as-a-service , to infrastructure-as-a-service , or software-as-a-service ."
T1057,Software may collect information about running processes.
T1005,"Attacker uploaded sensitive files, information, and credentials from a targeted organization for extortion or public release."
T1527,"Adversaries may use application access tokens to bypass the typical authentication process and access restricted accounts, information, or services on remote systems."
T1047,Software can use WMI to delete Shadow Volumes.
T1132,"Some data encoding systems may also result in data compression, such as gzip."
T1027,"Adversaries may also use compressed or archived scripts, such as JavaScript."
T1125,Software has a feature to access the webcam on the victim’s machine.
T1571,Software has used a custom RC4 and XOR encrypted protocol over port 443 for C2.
T1570,During the Attacker used `move` to transfer files to a network share.
T1071,Attacker used SMB for C2.
T1025,The Software FilePakMonitor component has the ability to collect files from removable devices.
T1115,Software contains code to open and copy data from the clipboard.
T1113,Software has the ability to do real time screen viewing on an infected host.
T1083,Software has the ability to enumerate files and directories on a compromised host.
T1580,"This includes compute service resources such as instances, virtual machines, and snapshots as well as resources of other services including the storage and database services."
T1518,"Adversaries may attempt to enumerate software for a variety of reasons, such as figuring out what security measures are present or if the compromised system has a version of software that is vulnerable to ."
T1043,"Software uses ports 80, 443, and 8080 for C2."
T1027,Software obfuscates its code and encrypts the API names.
T1104,The different stages will likely be hosted separately with no overlapping infrastructure.
T1151,"With certain file types , appending a space to the end of a filename will change how the file is processed by the operating system."
T1653,"Aware that some malware cannot survive system reboots, adversaries may entirely delete files used to invoke system shut down or reboot."
T1105,Software has downloaded additional Lua scripts from the C2.
T1012,Software checks for specific registry keys related to the <code>UCOMIEnumConnections</code> and <code>IActiveScriptParseProcedure32</code> interfaces.
T1005,Software can collect data from a local system.
T1074,Software modules.
T1140,Software can decrypt strings with a key either stored in the Registry or hardcoded in the code.
T1083,Software can walk through directories and recursively search for strings in files.
T1010,Software captures window titles.
T1166,"The <code>chmod</code> program can set these bits with via bitmasking, <code>chmod 4777 </code> or via shorthand naming, <code>chmod u+s </code>."
T1018,Software can use LDAP queries to connect to AD and iterate over connected workstations.
T1034,"An adversary can place an executable in a higher level directory of the path, and Windows will resolve that executable instead of the intended executable."
T1209,The Windows Time service  enables time synchronization across and within domains.
T1113,Software can take screenshots on compromised hosts.
T1010,Window listings could convey information about how the system is used.
T1161,Adversaries can remediate this issue by simply removing the LC_CODE_SIGNATURE command from the binary so that the signature isn’t checked at load time .
T1016,Software collects the MAC address of the target computer and other network configuration information.
T1161,Mach-O binaries have a series of headers that are used to perform certain operations when a binary is loaded.
T1621,During Attacker attempted to gain access by continuously sending MFA messages to the victim until they accept the MFA push challenge.
T1018,"Attacker has used PowerView to enumerate all Windows Server, Windows Server 2003, and Windows 7 instances in the Active Directory database."
T1064,Attacker used PowerShell scripts for execution.
T1016,Software can collect IP addresses from a compromised host.
T1047,Attacker has used WMI to execute scripts for post exploit document collection.
T1034,"There are multiple distinct weaknesses or misconfigurations that adversaries may take advantage of when performing path interception: unquoted paths, path environment variable misconfigurations, and search order hijacking."
T1055,"During , threat actors leveraged embedded shellcode to inject a downloader into the memory of Word."
T1215,They extend the functionality of the kernel without the need to reboot the system.
T1047,Software for lateral movement via WMI.
T1083,"Software has the ability to index files from drives, user profiles, and removable drives."
T1021,Software can manage remote screen sessions.
T1059,"Attacker used various implants, including those built on .NET, on target machines."
T1112,Attacker modified the registry using the command <code>reg add “HKEY_CURRENT_USER\Environment” /v UserInitMprLogonScript /t REG_SZ /d “”</code> for persistence.
T1490,Software deletes backups and shadow copies using native system tools.
T1106,Software can use Native API to create a new process and to start services.
T1010,Software has a command to capture active windows on the machine and retrieve window titles.
T1105,Software can download files to a compromised host.
T1127,These utilities may often be signed with legitimate certificates that allow them to execute on a system and proxy execution of malicious code through a trusted process that effectively bypasses application control solutions.
T1005,Software has the capability to upload collected files to C2.
T1082,"Software executes a set of commands to collect device information, including `uname`.  Another example is the `cat /etc/*release | uniq` command used to collect the current OS distribution."
T1106,Adversaries may use assembly to directly or in-directly invoke syscalls in an attempt to subvert defensive sensors and detection signatures such as user mode API-hooks.
T1104,"An Attacker downloader first establishes a SOCKS5 connection to 192.157.198103 using TCP port 1913; once the server response is verified, it then requests a connection to 192.184.60229 on TCP port 81."
T1046,"During , the threat actors employed nmap and pscan to scan target environments."
T1055,Software can inject a payload into the memory of a compromised host.
T1105,Attacker has delivered trojanized executables via spearphishing emails that contacts actor-controlled servers to download malicious payloads.
T1530,Attacker has obtained files from the victim's cloud storage instances.
T1056,"During normal system usage, users often provide credentials to various different locations, such as login pages/portals or system dialog boxes."
T1112,Software has altered the InstallTime subkey.
T1143,"### Mac
The configurations for how applications run on macOS are listed in property list  files."
T1047,Attacker has used WMI to execute scripts used for discovery.
T1106,Attacker has executed malware by calling the API function `CreateProcessW`.
T1170,"]sct"""")""))</code>

They may also be executed directly from URLs: <code>mshta http//webserver/payload[."
T1048,Software connects to a predefined domain on port 443 to exfil gathered information.
T1105,Software has the capability to upload and download files to the victim's machine.
T1012,Software can query the Registry for keys added to execute COM hijacking.
T1483,"This has the advantage of making it much harder for defenders block, track, or take over the command and control channel, as there potentially could be thousands of domains that malware can check for instructions."
T1057,Software has searched for the current process’s PID.
T1215,Examples have been found in the wild.
T1076,It can also lead to  and Privilege Escalation by stealing a Domain Admin or higher privileged account session.
T1203,Attacker has exploited Microsoft Word vulnerability CVE-2017-0199 for execution.
T1076,"Typically, a user is notified when someone else is trying to steal their session and prompted with a question."
T1095,Software has a command built in to use a raw TCP socket.
T1490,Software can delete the infected system's Shadow Volumes to prevent recovery.
T1043,Attacker malware has communicated with C2 servers over port 6667  and port 8080.
T1112,"Software can add, modify, and/or delete registry keys. It has changed the proxy configuration of a victim system by modifying the <code>HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap</code> registry."
T1059,Software uses a command-line interface to interact with systems.
T1083,"Software has a command to upload to its C2 server information about files on the victim mobile device, including SD card size, installed app list, SMS content, contacts, and calling history."
T1082,"Software can collect compromised host information, including OS version, PC name, RAM size, and CPU details."
T1047,Software can use WMI to execute PowerShell commands on a compromised machine.
T1027,Software has been delivered as password-protected zipped ISO files and used control-flow-flattening to obfuscate the flow of functions.
T1083,Software has searched for files and directories on a compromised network.
T1057,Software enumerates all running processes.
T1020,"When automated exfiltration is used, other exfiltration techniques likely apply as well to transfer the information out of the network, such as  and ."
T1098,Attacker has created their own accounts with Local Administrator privileges to maintain access to systems with short-cycle credential rotation.
T1571,Adversaries may make changes to the standard port used by a protocol to bypass filtering or muddle analysis/parsing of network data.
T1083,"Software searches through the drive containing the OS, then all drive letters C through to Z, for documents matching certain extensions."
T1203,Adversaries may exploit software vulnerabilities in client applications to execute code.
T1570,Attacker has deployed tools after moving laterally using administrative accounts.
T1133,Attacker has used stolen credentials to connect to the victim's network via VPN.
T1003,Software has a plugin for credential harvesting.
T1543,"When operating systems boot up, they can start processes that perform background system functions."
T1018,"During , the threat actors used several tools and batch files to map victims' internal networks."
T1057,Software obtains a list of running processes using the function <code>kill_unwanted</code>.
T1016,"Software gathers information on the IP forwarding table, MAC address, configured proxy, and network SSID."
T1083,Software can enumerate directories on target machines.
T1534,During Attacker conducted internal spearphishing from within a compromised organization.
T1490,Software can delete volume shadow copies on compromised hosts.
T1098,Attacker added newly created accounts to the administrators group to maintain elevated access.
T1105,Software has downloaded and executed additional plugins.
T1106,Software has used the Windows Crypto API to generate an AES key.
T1057,Software to obtain information from a compromised host.
T1489,Software can kill processes and delete services.
T1100,A Web shell is a Web script that is placed on an openly accessible Web server to allow an adversary to use the Web server as a gateway into a network.
T1012,Software queries Registry keys in preparation for setting Run keys to achieve persistence.
T1113,Software is capable of taking an image of and uploading the current desktop.
T1043,Software has used TCP port 443 for C2.
T1140,Software has used Google Chrome's decryption and extraction operations.
T1105,"Software can download additional plugins, files, and tools."
T1203,"Attacker has exploited Microsoft Office vulnerabilities, including CVE-2015-1641, CVE-2017-11882, and CVE-2018-0802."
T1647,"Adversaries can also insert key-value pairs to insert environment variables, such as <code>LSEnvironment</code>, to enable persistence via ."
T1539,There are also open source frameworks such as `Evilginx2` and `Muraena` that can gather session cookies through a malicious proxy ) that can be set up by an adversary and used in phishing campaigns.
T1105,Attacker has used LNK files to download remote files to the victim's network.
T1486,Software can use an embedded RSA-2048 public key to encrypt victim data for ransom.
T1027,Software obfuscates internal strings and unpacks them at startup.
T1043,Software communicates over port 80 for C2.
T1571,"For example, HTTPS over port 8088 or port 587 as opposed to the traditional port 443."
T1134,An adversary can then use a token to authenticate to a remote system as the account for that token if the account has appropriate permissions on the remote system.
T1082,Software gathers system configuration information.
T1106,Software has used various API calls.
T1041,Software can send data and files from a compromised host to its C2 server.
T1489,Software has stopped SQL services to ensure it can encrypt any database.
T1105,Attacker has downloaded an auxiliary program named ff.exe to infected machines.
T1043,Software communicates with its C2 domain over ports 443 and 8443.
T1105,"Once present, adversaries may also transfer/spread tools between victim devices within a compromised environment (i.e."
T1106,Adversaries may abuse these OS API functions as a means of executing behaviors.
T1082,"Software has the capability to discover the system OS, Windows version, architecture and environment."
T1105,Attacker has downloaded PowerShell code from the C2 server to be executed.
T1041,"During , threat actors used the XServer backdoor to exfiltrate data."
T1191,Adversaries may supply CMSTP.exe with INF files infected with malicious commands.
T1552,Software uses an external software known as NetPass to recover passwords.
T1005,Software can collect information from an air-gapped host machine.
T1083,Software can check for specific files and directories associated with virtualization and malware analysis.
T1202,Software uses the Software utility to execute commands on the system.
T1153,"Without a space, a new shell is created that runs the program instead of running the program within the current context."
T1497,Software can check to determine if the compromised system is running on VMware.
T1060,"]dll""</code> 

The following Registry keys can be used to set startup folder items for persistence:
* <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders</code>
* <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders</code>
* <code>HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders</code>
* <code>HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders</code>

The following Registry keys can control automatic startup of services during boot:
* <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\RunServicesOnce</code>
* <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\RunServicesOnce</code>
* <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\RunServices</code>
* <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\RunServices</code>

Using policy settings to specify startup programs creates corresponding values in either of two Registry keys:
* <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run</code>
* <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run</code>

The Winlogon key controls actions that occur when a user logs on to a computer running Windows 7."
T1005,Attacker has collected large numbers of files from compromised network systems for later extraction.
T1069,Adversaries may attempt to discover group permission settings in many different ways.
T1082,Software has used Software to gather system information.
T1057,Software has the ability to list running processes on the infected host.
T1570,Attacker has copied web shells between servers in targeted environments.
T1095,Software can use TCP in C2 communications.
T1041,Software can send collected victim data to its C2 server.
T1032,Attacker has used RC4 encryption  and AES  to obfuscate HTTP traffic.
T1110,Attacker has used brute force techniques to obtain credentials.
T1140,"Attacker has decoded base64-encoded PowerShell, JavaScript, and VBScript."
T1486,"Software, Locky, Jaff, Bart, Philadelphia, and GlobeImposter, to encrypt victim files and demand a ransom payment."
T1064,Some scripting languages may be used to bypass process monitoring mechanisms by directly interacting with the operating system at an API level instead of calling other programs.
T1025,Attacker RPC backdoors can collect files from USB thumb drives.
T1113,Software can take screenshots on a compromised host by calling a series of APIs.
T1059,Software can generate shellcode outputs that execute via Ruby.
T1094,Adversaries may communicate using a custom command and control protocol instead of encapsulating commands/data in an existing .
